Name,Type,Start_Col,End_Col,Col_Width
COLL_ID,Numeric,1,3,3
STUDY_ID,Numeric,4,9,6
A1,Numeric,10,11,2
A2,Numeric,12,12,1
A3,Numeric,13,13,1
A4,Numeric,14,14,1
A5,Numeric,15,15,1
A6,Numeric,16,16,1
A7,Numeric,17,17,1
A8,Numeric,18,18,1
A8_1,Numeric,19,19,1
A8_2,Numeric,20,20,1
A8_3,Numeric,21,21,1
A8_4,Numeric,22,22,1
A9,Numeric,23,23,1
A10_A,Numeric,24,24,1
A10_B,Numeric,25,25,1
A10_C,Numeric,26,26,1
A10_D,Numeric,27,27,1
A10_E,Numeric,28,28,1
A10_F,Numeric,29,29,1
A10_G,Numeric,30,30,1
A10_H,Numeric,31,31,1
B1,Numeric,32,32,1
B2,Numeric,33,33,1
B3,Numeric,34,34,1
B4,Numeric,35,35,1
B5,Numeric,36,36,1
B6_A,Numeric,37,37,1
B6_B,Numeric,38,38,1
B6_C,Numeric,39,39,1
B6_D,Numeric,40,40,1
B6_E,Numeric,41,41,1
B7_A,Numeric,42,42,1
B7_B,Numeric,43,43,1
B7_C,Numeric,44,44,1
B7_D,Numeric,45,45,1
B7_E,Numeric,46,46,1
B7_F,Numeric,47,47,1
B8_A,Numeric,48,48,1
B8_B,Numeric,49,49,1
B8_C,Numeric,50,50,1
B8_D,Numeric,51,51,1
B8_E,Numeric,52,52,1
B9_A,Numeric,53,53,1
B9_B,Numeric,54,54,1
B9_C,Numeric,55,55,1
B9_D,Numeric,56,56,1
B9_E,Numeric,57,57,1
B9_F,Numeric,58,58,1
B9_G,Numeric,59,59,1
B10_1,Numeric,60,60,1
B10_2,Numeric,61,61,1
B10_3,Numeric,62,62,1
B10_4,Numeric,63,63,1
B10_5,Numeric,64,64,1
B10_6,Numeric,65,65,1
B10_7,Numeric,66,66,1
B10_8,Numeric,67,67,1
B11,Numeric,68,68,1
B12_A,Numeric,69,69,1
B12_B,Numeric,70,70,1
B13_A,Numeric,71,71,1
B13_B,Numeric,72,72,1
B13_C,Numeric,73,73,1
B13_D,Numeric,74,74,1
B13_E,Numeric,75,75,1
C1,Numeric,76,76,1
C2,Numeric,77,77,1
C3,Numeric,78,78,1
C4_A,Numeric,79,79,1
C4_B,Numeric,80,80,1
C4_C,Numeric,81,81,1
C4_D,Numeric,82,82,1
C4_E,Numeric,83,83,1
C4_F,Numeric,84,84,1
C5,Numeric,85,85,1
C6,Numeric,86,86,1
C7_A,Numeric,87,87,1
C7_B,Numeric,88,88,1
C7_C,Numeric,89,89,1
C7_D,Numeric,90,90,1
C8,Numeric,91,91,1
C9,Numeric,92,92,1
C10,Numeric,93,93,1
C11,Numeric,94,94,1
C12,Numeric,95,95,1
C13,Numeric,96,96,1
C14_A,Numeric,97,97,1
C14_B,Numeric,98,98,1
C14_C,Numeric,99,99,1
C14_D,Numeric,100,100,1
C14_E,Numeric,101,101,1
C14_F,Numeric,102,102,1
C14_G,Numeric,103,103,1
C14_H,Numeric,104,104,1
C15_A,Numeric,105,105,1
C15_B,Numeric,106,106,1
C15_C,Numeric,107,107,1
C15_D,Numeric,108,108,1
C15_E,Numeric,109,109,1
C15_F,Numeric,110,110,1
C16_A,Numeric,111,111,1
C16_B,Numeric,112,112,1
C16_C,Numeric,113,113,1
C16_D,Numeric,114,114,1
C16_E,Numeric,115,115,1
C16_F,Numeric,116,116,1
C16_G,Numeric,117,117,1
C16_H,Numeric,118,118,1
C16_I,Numeric,119,119,1
C16_J,Numeric,120,120,1
C16_K,Numeric,121,121,1
C16_L,Numeric,122,122,1
C16_M,Numeric,123,123,1
C16_N,Numeric,124,124,1
C17_A,Numeric,125,125,1
