Name,Type,Start_Col,End_Col,Col_Width
COLL_ID,Numeric,1,3,3
STUDY_ID,Numeric,4,9,6
A1,Numeric,10,11,2
A2,Numeric,12,12,1
A3,Numeric,13,13,1
A4,Numeric,14,14,1
A5,Numeric,15,15,1
A6,Numeric,16,16,1
A7,Numeric,17,17,1
A8,Numeric,18,18,1
A9,Numeric,19,19,1
A10A,Numeric,20,20,1
A10B,Numeric,21,21,1
A10C,Numeric,22,22,1
A10D,Numeric,23,23,1
A11,Numeric,24,24,1
A12A,Numeric,25,25,1
A12B,Numeric,26,26,1
A12C,Numeric,27,27,1
A12D,Numeric,28,28,1
A12E,Numeric,29,29,1
A12F,Numeric,30,30,1
A12G,Numeric,31,31,1
A12H,Numeric,32,32,1
A12I,Numeric,33,33,1
B1,Numeric,34,34,1
B2,Numeric,35,35,1
B3,Numeric,36,36,1
B4,Numeric,37,37,1
B5,Numeric,38,38,1
B6A,Numeric,39,39,1
B6B,Numeric,40,40,1
B6C,Numeric,41,41,1
B6D,Numeric,42,42,1
B6E,Numeric,43,43,1
B6F,Numeric,44,44,1
B6G,Numeric,45,45,1
B7A,Numeric,46,46,1
B7B,Numeric,47,47,1
B7C,Numeric,48,48,1
B7D,Numeric,49,49,1
B8A,Numeric,50,50,1
B8B,Numeric,51,51,1
B8C,Numeric,52,52,1
B8D,Numeric,53,53,1
B8E,Numeric,54,54,1
B9A,Numeric,55,55,1
B9B,Numeric,56,56,1
B9C,Numeric,57,57,1
B9D,Numeric,58,58,1
B9E,Numeric,59,59,1
B9F,Numeric,60,60,1
B9G,Numeric,61,61,1
B10A,Numeric,62,62,1
B10B,Numeric,63,63,1
B10C,Numeric,64,64,1
B10D,Numeric,65,65,1
B10E,Numeric,66,66,1
B10F,Numeric,67,67,1
B10G,Numeric,68,68,1
B10H,Numeric,69,69,1
B10I,Numeric,70,70,1
B11A,Numeric,71,71,1
B11B,Numeric,72,72,1
B12A,Numeric,73,73,1
B12B,Numeric,74,74,1
B12C,Numeric,75,75,1
B12D,Numeric,76,76,1
B12E,Numeric,77,77,1
B13,Numeric,78,78,1
B14A,Numeric,79,79,1
B14B,Numeric,80,80,1
B14C,Numeric,81,81,1
B14D,Numeric,82,82,1
B15A,Numeric,83,83,1
B15B,Numeric,84,84,1
B15C,Numeric,85,85,1
B15D,Numeric,86,86,1
B15E,Numeric,87,87,1
B15F,Numeric,88,88,1
B15G,Numeric,89,89,1
B15H,Numeric,90,90,1
B15I,Numeric,91,91,1
B15J,Numeric,92,92,1
B16,Numeric,93,93,1
B17,Numeric,94,94,1
C1,Numeric,95,95,1
C2,Numeric,96,96,1
C3,Numeric,97,97,1
C4,Numeric,98,98,1
C5,Numeric,99,99,1
C6,Numeric,100,100,1
C7,Numeric,101,101,1
C8,Numeric,102,102,1
C9,Numeric,103,103,1
C10,Numeric,104,104,1
C11,Numeric,105,105,1
C12A,Numeric,106,106,1
C12B,Numeric,107,107,1
C12C,Numeric,108,108,1
C12D,Numeric,109,109,1
C12E,Numeric,110,110,1
C12F,Numeric,111,111,1
C12G,Numeric,112,112,1
C12H,Numeric,113,113,1
C13A,Numeric,114,114,1
C13B,Numeric,115,115,1
C13C,Numeric,116,116,1
C13D,Numeric,117,117,1
C13E,Numeric,118,118,1
C13F,Numeric,119,119,1
C13G,Numeric,120,120,1
C13H,Numeric,121,121,1
C14,Numeric,122,122,1
C15,Numeric,123,124,2
C16A,Numeric,125,125,1
C16B,Numeric,126,126,1
C16C,Numeric,127,127,1
C16D,Numeric,128,128,1
C16E,Numeric,129,129,1
C16F,Numeric,130,130,1
C17A,Numeric,131,131,1
C17B,Numeric,132,132,1
